model,llm_name,noise_level,n_games,AD,RND,AC,TFT,STFT,GRIM,WSLS
Mistral-7B,Mistral-7B-Instruct-v0.3,0,480,0.44068468977636865,0.002083334242291366,0.16640125208109385,0.03705083303225782,0.3061608048113586,0.02631375063779796,0.02130533757111191
Mistral-7B,Mistral-7B-Instruct-v0.3,5,480,0.4607566279525011,0.00205531181126515,0.20567847269080058,0.023174039992573347,0.266475500278258,0.032665714993624466,0.009194332820980757
Qwen-32B,Qwen2.5-32B-Instruct,0,480,0.43560066061472313,4.06959785294318e-17,0.07831753721978925,0.07008783074967027,0.3143993395248056,0.06966356744749627,0.03193106460719216
Qwen-32B,Qwen2.5-32B-Instruct,5,480,0.4759740795604737,1.2536951412644412e-16,0.19506895488147066,0.020804607820546762,0.27170858683738197,0.031236726577700078,0.005207045452065436
Qwen-32B,Qwen2.5-32B-Instruct,20,480,0.4554217321019042,0.0024675062835821746,0.22420714916015638,0.01166188814251589,0.2629870542826377,0.03785809282749462,0.005396578801649189
GPT-oss-20B,gpt-oss-20b,0,480,0.46574843584566594,2.876211354756082e-12,0.007279723414321617,0.08189519251406151,0.34350781498018657,0.09468680202681261,0.006882031561583213
GPT-oss-20B,gpt-oss-20b,5,480,0.554043973642243,0.0041666666666667525,0.006320558864822903,0.03548308108319458,0.29395438239512217,0.10603133830691504,3.581345349316037e-10
