llm_name,noise_level,agent,strategy,sfem_score
Mistral-7B-Instruct-v0.3,0,agent1,AD,0.4450930873859172
Mistral-7B-Instruct-v0.3,0,agent1,RND,2.7254918176370426e-17
Mistral-7B-Instruct-v0.3,0,agent1,AC,0.1668999375796817
Mistral-7B-Instruct-v0.3,0,agent1,TFT,0.031672322145150325
Mistral-7B-Instruct-v0.3,0,agent1,STFT,0.306736203849633
Mistral-7B-Instruct-v0.3,0,agent1,GRIM,0.025705117306830522
Mistral-7B-Instruct-v0.3,0,agent1,WSLS,0.023893333096339883
Mistral-7B-Instruct-v0.3,0,agent2,AD,0.42949602533142284
Mistral-7B-Instruct-v0.3,0,agent2,RND,0.004166666666666679
Mistral-7B-Instruct-v0.3,0,agent2,AC,0.1662945845470651
Mistral-7B-Instruct-v0.3,0,agent2,TFT,0.033375489434255175
Mistral-7B-Instruct-v0.3,0,agent2,STFT,0.31217064134284433
Mistral-7B-Instruct-v0.3,0,agent2,GRIM,0.03023792357408633
Mistral-7B-Instruct-v0.3,0,agent2,WSLS,0.024258669114896197
Mistral-7B-Instruct-v0.3,5,agent1,AD,0.4755295107520326
Mistral-7B-Instruct-v0.3,5,agent1,RND,0.004166666666666767
Mistral-7B-Instruct-v0.3,5,agent1,AC,0.198524056110916
Mistral-7B-Instruct-v0.3,5,agent1,TFT,0.018162730654727486
Mistral-7B-Instruct-v0.3,5,agent1,STFT,0.2707954021639098
Mistral-7B-Instruct-v0.3,5,agent1,GRIM,0.026113819987603527
Mistral-7B-Instruct-v0.3,5,agent1,WSLS,0.0067078138073448906
Mistral-7B-Instruct-v0.3,5,agent2,AD,0.4460870214212464
Mistral-7B-Instruct-v0.3,5,agent2,RND,2.710460290110112e-12
Mistral-7B-Instruct-v0.3,5,agent2,AC,0.2083607913377862
Mistral-7B-Instruct-v0.3,5,agent2,TFT,0.03145022224901437
Mistral-7B-Instruct-v0.3,5,agent2,STFT,0.2632030929075253
Mistral-7B-Instruct-v0.3,5,agent2,GRIM,0.040324070443836776
Mistral-7B-Instruct-v0.3,5,agent2,WSLS,0.010574803040530035
Qwen2.5-32B-Instruct,0,agent1,AD,0.44119925162041107
Qwen2.5-32B-Instruct,0,agent1,RND,2.7282543199220922e-17
Qwen2.5-32B-Instruct,0,agent1,AC,0.07446606264352314
Qwen2.5-32B-Instruct,0,agent1,TFT,0.07088716071691256
Qwen2.5-32B-Instruct,0,agent1,STFT,0.30880074927672185
Qwen2.5-32B-Instruct,0,agent1,GRIM,0.07345513955516632
