llm_name,noise_level,agent,strategy,sfem_score
Qwen2.5-32B-Instruct,0,agent1,WSLS,0.03119163709868661
Qwen2.5-32B-Instruct,0,agent2,AD,0.4393965612577971
Qwen2.5-32B-Instruct,0,agent2,RND,2.0171069656991853e-17
Qwen2.5-32B-Instruct,0,agent2,AC,0.08265743082188576
Qwen2.5-32B-Instruct,0,agent2,TFT,0.06692332640113281
Qwen2.5-32B-Instruct,0,agent2,STFT,0.31060343888578
Qwen2.5-32B-Instruct,0,agent2,GRIM,0.06964663334727511
Qwen2.5-32B-Instruct,0,agent2,WSLS,0.030772609494109517
Qwen2.5-32B-Instruct,5,agent1,AD,0.48217767814905227
Qwen2.5-32B-Instruct,5,agent1,RND,1.4199834404742728e-16
Qwen2.5-32B-Instruct,5,agent1,AC,0.18826449585869592
Qwen2.5-32B-Instruct,5,agent1,TFT,0.019374392638263897
Qwen2.5-32B-Instruct,5,agent1,STFT,0.27822211001376196
Qwen2.5-32B-Instruct,5,agent1,GRIM,0.02416220080837688
Qwen2.5-32B-Instruct,5,agent1,WSLS,0.007799123607624234
Qwen2.5-32B-Instruct,5,agent2,AD,0.4687858886656
Qwen2.5-32B-Instruct,5,agent2,RND,1.252723716482207e-16
Qwen2.5-32B-Instruct,5,agent2,AC,0.20134285342238553
Qwen2.5-32B-Instruct,5,agent2,TFT,0.024429745688048565
Qwen2.5-32B-Instruct,5,agent2,STFT,0.2663659132035331
Qwen2.5-32B-Instruct,5,agent2,GRIM,0.03423239306513514
Qwen2.5-32B-Instruct,5,agent2,WSLS,0.004843207370180677
Qwen2.5-32B-Instruct,20,agent1,AD,0.46331754187312874
Qwen2.5-32B-Instruct,20,agent1,RND,0.008333333333346295
Qwen2.5-32B-Instruct,20,agent1,AC,0.21458284963220806
Qwen2.5-32B-Instruct,20,agent1,TFT,0.012420326106375593
Qwen2.5-32B-Instruct,20,agent1,STFT,0.2593788400869752
Qwen2.5-32B-Instruct,20,agent1,GRIM,0.03695870984658304
Qwen2.5-32B-Instruct,20,agent1,WSLS,0.005008399572068704
Qwen2.5-32B-Instruct,20,agent2,AD,0.45636995602382
Qwen2.5-32B-Instruct,20,agent2,RND,0.004166666666666724
Qwen2.5-32B-Instruct,20,agent2,AC,0.22603599088072393
Qwen2.5-32B-Instruct,20,agent2,TFT,0.011817848371819139
Qwen2.5-32B-Instruct,20,agent2,STFT,0.25991775894431074
Qwen2.5-32B-Instruct,20,agent2,GRIM,0.03580499479013718
Qwen2.5-32B-Instruct,20,agent2,WSLS,0.0058867844100106695
gpt-oss-20b,0,agent1,AD,0.4449891465651859
gpt-oss-20b,0,agent1,RND,8.756916806240543e-17
gpt-oss-20b,0,agent1,AC,0.005992105393406914
gpt-oss-20b,0,agent1,TFT,0.09330017410400769
gpt-oss-20b,0,agent1,STFT,0.3323693612494552
gpt-oss-20b,0,agent1,GRIM,0.11454030956220912
gpt-oss-20b,0,agent1,WSLS,0.008808903269791047
gpt-oss-20b,0,agent2,AD,0.49314932243430665
gpt-oss-20b,0,agent2,RND,1.8203640222944675e-11
gpt-oss-20b,0,agent2,AC,0.010277955341511717
gpt-oss-20b,0,agent2,TFT,0.06487456074905369
gpt-oss-20b,0,agent2,STFT,0.34851734649259647
gpt-oss-20b,0,agent2,GRIM,0.07883329470676699
gpt-oss-20b,0,agent2,WSLS,0.004347522999506833
gpt-oss-20b,5,agent1,AD,0.5460679310989149
gpt-oss-20b,5,agent1,RND,0.004166666666666806
gpt-oss-20b,5,agent1,AC,0.006486406094390927
gpt-oss-20b,5,agent1,TFT,0.03750957153165414
gpt-oss-20b,5,agent1,STFT,0.28144982756115833
gpt-oss-20b,5,agent1,GRIM,0.12431959726253515
gpt-oss-20b,5,agent1,WSLS,1.2124543072883057e-16
gpt-oss-20b,5,agent2,AD,0.5692859871736123
gpt-oss-20b,5,agent2,RND,0.0041666666666668505
gpt-oss-20b,5,agent2,AC,0.00598780976318827
gpt-oss-20b,5,agent2,TFT,0.0337500757665532
gpt-oss-20b,5,agent2,STFT,0.2985749765565535
gpt-oss-20b,5,agent2,GRIM,0.08823448521767151
gpt-oss-20b,5,agent2,WSLS,1.6640895934952654e-16
